title,genres_list,vote_average,vote_count,director,overview,tags,genres_str
Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",7.2,11800,James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society samworthington zoesaldana sigourneyweaver jamescameron jamescameron jamescameron in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Action, Adventure, Fantasy"
Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",6.9,4500,Gore Verbinski,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems.","Adventure, Fantasy, Action"
Spectre,"['Action', 'Adventure', 'Crime']",6.3,4466,Sam Mendes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","action adventure crime spy basedonnovel secretagent sequel mi6 danielcraig christophwaltz léaseydoux sammendes sammendes sammendes a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre.","Action, Adventure, Crime"
The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,9106,Christopher Nolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","action crime drama thriller dccomics crimefighter terrorist secretidentity burglar christianbale michaelcaine garyoldman christophernolan christophernolan christophernolan following the death of district attorney harvey dent, batman assumes responsibility for dent's crimes to protect the late attorney's reputation and is subsequently hunted by the gotham city police department. eight years later, batman encounters the mysterious selina kyle and the villainous bane, a new terrorist leader who overwhelms gotham's finest. the dark knight resurfaces to protect a city that has branded him an enemy.","Action, Crime, Drama"
John Carter,"['Action', 'Adventure', 'Science Fiction']",6.1,2124,Andrew Stanton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","action adventure sciencefiction basedonnovel mars medallion spacetravel princess taylorkitsch lynncollins samanthamorton andrewstanton andrewstanton andrewstanton john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands.","Action, Adventure, Science Fiction"
Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",5.9,3576,Sam Raimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","fantasy action adventure dualidentity amnesia sandstorm loveofone'slife forgiveness tobeymaguire kirstendunst jamesfranco samraimi samraimi samraimi the seemingly invincible spider-man goes up against an all-new crop of villain – including the shape-shifting sandman. while spider-man’s superpowers are altered by an alien organism, his alter ego, peter parker, deals with nemesis eddie brock and also gets caught up in a love triangle.","Fantasy, Action, Adventure"
Tangled,"['Animation', 'Family']",7.4,3330,Byron Howard,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","animation family hostage magic horse fairytale musical zacharylevi mandymoore donnamurphy byronhoward byronhoward byronhoward when the kingdom's most wanted-and most charming-bandit flynn rider hides out in a mysterious tower, he's taken hostage by rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","Animation, Family"
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",7.3,6767,Joss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision robertdowneyjr. chrishemsworth markruffalo josswhedon josswhedon josswhedon when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earth’s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action, Adventure, Science Fiction"
Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",7.4,5293,David Yates,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","adventure fantasy family witch magic broom schoolofwitchcraft wizardry danielradcliffe rupertgrint emmawatson davidyates davidyates davidyates as harry begins his sixth year at hogwarts, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past.","Adventure, Fantasy, Family"
Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",5.7,7004,Zack Snyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge benaffleck henrycavill galgadot zacksnyder zacksnyder zacksnyder fearing the actions of a god-like super hero left unchecked, gotham city’s own formidable, forceful vigilante takes on metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. and with batman and superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","Action, Adventure, Fantasy"
